BLOCK_ID,STREET_BLOCK,lat,lng
83001,EMBARCADERO NORTH 100,37.7933204,-122.3927597
65233,SCOTT ST 3300,37.8005097,-122.4407829
65801,SPEAR ST 100,37.7922008,-122.394051
44305,GOUGH ST 500,37.7778297,-122.4231821
83105,EMBARCADERO SOUTH 500,37.7871026,-122.3880136
83106,EMBARCADERO SOUTH 600,37.7839406,-122.3886355
56827,MISSION ST 2700,37.7537033,-122.4188781
66423,STOCKTON ST 2300,37.8072728,-122.4103435
44602,GROVE ST 200,37.7782785,-122.4201058
44603,GROVE ST 300,37.7781634,-122.4217955
83107,KING ST 700,37.76989,-122.4023913
84700,JEFFERSON ST 0,37.8085984,-122.4125529
66500,STEUART ST 0,37.794466,-122.3947897
66501,STEUART ST 100,37.7932195,-122.3931893
66600,SUTTER ST 0,37.7902627,-122.4006059
57102,MONTGOMERY ST 200,37.7911435,-122.4022879
67101,SOUTH PARK 100,37.7815794,-122.3939522
46405,HAYES ST 500,37.7767677,-122.424879
57107,MONTGOMERY ST 700,37.7957031,-122.403123
58501,NORTH POINT ST 100,37.8073355,-122.4096499
47101,HARRISON ST 100,37.788988,-122.390115
10302,03RD AVE 200,37.7848476,-122.4611097
10402,04TH AVE 200,37.78467,-122.462163
68901,TEHAMA ST 100,37.7863516,-122.3977299
47106,HARRISON ST 600,37.7841256,-122.3958262
10702,07TH AVE 200,37.7847183,-122.4656294
10902,09TH AVE 200,37.784657,-122.4677807
69119,UNION ST 1900,37.7979584,-122.4309623
60623,PINE ST 2300,37.7879608,-122.4337546
44038,GEARY BLVD 3800,37.781608,-122.460296
22035,20TH ST 3500,37.7586386,-122.4190915
32403,BATTERY ST 300,37.7943721,-122.400199
32602,BEACH ST 200,37.8079903,-122.4126666
47001,HOWARD ST 100,37.7913076,-122.3925452
66333,STEINER ST 3300,37.7997017,-122.4377358
84701,JEFFERSON ST 100,37.8084281,-122.4141884
66601,SUTTER ST 100,37.7900396,-122.4022193
57103,MONTGOMERY ST 300,37.7924422,-122.402219
57106,MONTGOMERY ST 600,37.7950185,-122.4027468
67100,SOUTH PARK 0,37.7823694,-122.3931679
902,California and Steiner Lot,37.789102,-122.434995
68401,TOWNSEND ST 100,37.78055,-122.391048
10303,03RD AVE 300,37.7830985,-122.4612218
10403,04TH AVE 300,37.7830457,-122.4622947
60801,PIXLEY ST 100,37.7987047,-122.4341494
70100,VAN NESS AVE 0,37.775442,-122.4192565
70102,VAN NESS AVE 200,37.7775227,-122.4193399
41518,FILLMORE ST 1800,37.786249,-122.4331212
41519,FILLMORE ST 1900,37.7872223,-122.4333313
20303,03RD ST 300,37.7836168,-122.3989357
22132,21ST ST 3200,37.7570405,-122.4189346
70012,VALENCIA ST 1200,37.753489,-122.42107
32606,BEACH ST 600,37.8066683,-122.4196495
33105,BRYANT ST 500,37.7813468,-122.3962416
84705,JEFFERSON ST 500,37.807894,-122.4210212
83002,EMBARCADERO NORTH 200,37.792362,-122.3912341
61418,POST ST 1800,37.7853656,-122.4314814
58201,NEW MONTGOMERY ST 100,37.7868999,-122.4005614
72024,WASHINGTON ST 2400,37.7918106,-122.432773
60600,PINE ST 0,37.792583,-122.3974468
84702,JEFFERSON ST 200,37.8082427,-122.4156623
72501,WEST PORTAL AVE 100,37.7397316,-122.4674325
41513,FILLMORE ST 1300,37.781588,-122.4321368
65002,SACRAMENTO ST 200,37.7944617,-122.3977955
70104,VAN NESS AVE 400,37.7792556,-122.4194194
46401,HAYES ST 100,37.7775117,-122.4180795
56103,MAIN ST 300,37.7893847,-122.3918615
32300,BARTLETT ST 0,37.7569628,-122.4200417
65102,SANSOME ST 200,37.7922626,-122.4007051
83103,EMBARCADERO SOUTH 300,37.7907507,-122.3901449
56825,MISSION ST 2500,37.7569238,-122.4192316
66315,STEINER ST 1500,37.7832775,-122.4341128
66618,SUTTER ST 1800,37.7866599,-122.4302707
68127,TAYLOR ST 2700,37.8073043,-122.415643
68400,TOWNSEND ST 0,37.781806,-122.3887093
41100,FELL ST 0,37.7764999,-122.4175909
68125,TAYLOR ST 2500,37.8054433,-122.4152683
10203,02ND AVE 300,37.7830396,-122.4598824
58503,NORTH POINT ST 300,37.8067718,-122.4121811
58504,NORTH POINT ST 400,37.8069477,-122.4147396
58505,NORTH POINT ST 500,37.8063572,-122.4154543
58506,NORTH POINT ST 600,37.806159,-122.4171052
41520,FILLMORE ST 2000,37.7881604,-122.433407
32608,BEACH ST 800,37.8063917,-122.4225976
41516,FILLMORE ST 1600,37.78453,-122.4329762
66620,SUTTER ST 2000,37.786093,-122.4333131
58502,NORTH POINT ST 200,37.8069743,-122.4105401
70300,VICENTE ST 0,37.7391754,-122.4661794
41517,FILLMORE ST 1700,37.7853703,-122.4327894
10202,02ND AVE 200,37.784876,-122.459966
83104,EMBARCADERO SOUTH 400,37.7894745,-122.3886065
56820,MISSION ST 2000,37.7652204,-122.4196914
41101,FELL ST 100,37.7764868,-122.4192638
61202,POLK ST 200,37.7784944,-122.4182568
70105,VAN NESS AVE 500,37.7802979,-122.4200025
61623,POWELL ST 2300,37.8058416,-122.4119788
72004,WASHINGTON ST 400,37.7960949,-122.398842
70101,VAN NESS AVE 100,37.7767434,-122.4190723
72000,WASHINGTON ST 0,37.7958762,-122.4005604
47006,HOWARD ST 600,37.7867825,-122.397779
84703,JEFFERSON ST 300,37.8080907,-122.4179019
86502,STEUART ST 200,37.7920001,-122.3916647
70103,VAN NESS AVE 300,37.7782877,-122.4198311
70301,VICENTE ST 100,37.7399058,-122.4675097
65800,SPEAR ST 0,37.7938039,-122.3956732
60602,PINE ST 200,37.7923595,-122.4001359
32504,BAY ST 400,37.8058569,-122.4138534
58200,NEW MONTGOMERY ST 0,37.7883691,-122.401615
56821,MISSION ST 2100,37.7632406,-122.4197824
56822,MISSION ST 2200,37.7616992,-122.4196511
56826,MISSION ST 2600,37.7552872,-122.4192514
46402,HAYES ST 200,37.777295,-122.4197919
56823,MISSION ST 2300,37.760094,-122.419495
66100,STEVENSON ST 0,37.7905944,-122.3986261
56824,MISSION ST 2400,37.75846,-122.419335
21934,19TH ST 3400,37.7602391,-122.4192389
21732,17TH ST 3200,37.7636667,-122.4176344
21733,17TH ST 3300,37.763444,-122.4195514
